Country,City,Population,Population Density,Covid Effect
Morocco,Beni Mellal,0.0,0.0,0.24238892043338905
Morocco,Tiflet,86709.0,1.0440235310250254,0.24238892043338905
Morocco,Taroudannt,80149.0,0.9650375622844776,0.24238892043338905
Morocco,Sefrou,79887.0,0.9618829397524618,0.24238892043338905
Morocco,Essaouira,77966.0,0.9387530546990177,0.24238892043338905
Morocco,Tan-Tan,73209.0,0.8814761868181052,0.24238892043338905
Morocco,Skhirate,59775.0,0.7197235185161966,0.24238892043338905
Morocco,Tiznit,57705.0,0.6947995924044689,0.24238892043338905
Morocco,Beni Enzar,56582.0,0.6812780614752562,0.24238892043338905
Morocco,Chefchaouene,42786.0,0.515166716239799,0.24238892043338905
Morocco,Temsia,40780.0,0.49101338494505226,0.24238892043338905
Morocco,Taounate,37616.0,0.4529171036805563,0.24238892043338905
Morocco,Bou Ahmed,33105.0,0.3986022096274143,0.24238892043338905
Morocco,Bouknadel,25255.0,0.304083939107094,0.24238892043338905
Morocco,Zawyat an Nwacer,23802.0,0.2865890286528233,0.24238892043338905
Morocco,Sidi Ifni,21618.0,0.2602924805233482,0.24238892043338905
Morocco,Selouane,21570.0,0.2597145344106125,0.24238892043338905
Morocco,Asni,21244.0,0.25578931706161573,0.24238892043338905
Morocco,El Harhoura,15361.0,0.18495479661944453,0.24238892043338905
Morocco,Ifrane,14659.0,0.17650233472068466,0.24238892043338905
Morocco,Aghbal,14908.0,0.1795004301805012,0.24238892043338905
Morocco,Boumalne,12328.0,0.14843582662095645,0.24238892043338905
Morocco,Bni Drar,10934.0,0.13165130826359003,0.24238892043338905
Morocco,Aj Jourf,12302.0,0.14812277247655795,0.24238892043338905
Morocco,Lafrayta,11298.0,0.1360340662851692,0.24238892043338905
Morocco,Figuig,10872.0,0.13090479453463974,0.24238892043338905
Morocco,Oued Laou,9665.0,0.11637185790813953,0.24238892043338905
Morocco,Saidia,8780.0,0.10571597645457476,0.24238892043338905
Morocco,Ras Kebdana,7580.0,0.09126732363618185,0.24238892043338905
Morocco,Ghafsai,6361.0,0.07658990048149773,0.24238892043338905
Morocco,Ajdir,5314.0,0.06398345089744992,0.24238892043338905
Botswana,Gaborone,231626.0,2.7889030480942294,0.5021444890279725
Botswana,Francistown,89979.0,1.0833961099551461,0.5021444890279725
Botswana,Molepolole,67598.0,0.8139166943481031,0.5021444890279725
Botswana,Selibe Phikwe,49724.0,0.5987040106181407,0.5021444890279725
Botswana,Maun,49945.0,0.6013649708455281,0.5021444890279725
Botswana,Serowe,48573.0,0.5848453444564988,0.5021444890279725
Botswana,Kanye,46831.0,0.5638707167817985,0.5021444890279725
Botswana,Mochudi,39700.0,0.47800959740849863,0.5021444890279725
Botswana,Lobatse,29700.0,0.35760415725522443,0.5021444890279725
Botswana,Tshabong,9679.0,0.11654042552435412,0.5021444890279725
Botswana,Kasane,9250.0,0.11137503214177866,0.5021444890279725
Botswana,Ghanzi,6306.0,0.07592767056065472,0.5021444890279725
Botswana,Ramotswa,0.0,0.0,0.5021444890279725
Botswana,Masunga,0.0,0.0,0.5021444890279725
Botswana,Sowa Town,0.0,0.0,0.5021444890279725
Botswana,Jwaneng,0.0,0.0,0.5021444890279725
Botswana,Mahalapye,50744.0,0.6109853655137747,0.5021444890279725
Botswana,Palapye,36211.0,0.43600013933902126,0.5021444890279725
Botswana,Nata,4794.0,0.05772236800947966,0.5021444890279725
Botswana,Mopipi,3301.0,0.03974583579459582,0.5021444890279725
Botswana,Lehututu,1942.0,0.023382736477765852,0.5021444890279725
Botswana,Nokaneng,1763.0,0.021227479099022246,0.5021444890279725
Botswana,Lokwabe,1473.0,0.017735721334577292,0.5021444890279725
Botswana,Tsau,1409.0,0.016965126517596338,0.5021444890279725
Botswana,Muhembo,757.0,0.009114691819602859,0.5021444890279725
Belize,Belmopan,17222.0,0.20736224903196887,0.705776185815337
Belize,Belize City,57169.0,0.6883458608122534,0.705776185815337
Belize,Orange Walk,18000.0,0.2167297922758936,0.705776185815337
Belize,San Ignacio,16977.0,0.20441231574821364,0.705776185815337
Belize,Dangriga,9096.0,0.10952078836341823,0.705776185815337
Belize,Corozal,8800.0,0.10595678733488131,0.705776185815337
Belize,Punta Gorda,5026.0,0.06051577422103562,0.705776185815337
Belize,San Pedro,11767.0,0.14168108142835778,0.705776185815337
Japan,Tokyo,37977000.0,457.2637400700895,0.03600102629073855
Japan,Osaka,14977000.0,180.3312277175588,0.03600102629073855
Japan,Nagoya,9113000.0,109.7254776116788,0.03600102629073855
Japan,Yokohama,3748781.0,45.137362634323146,0.03600102629073855
Japan,Fukuoka,2128000.0,25.622277664616753,0.03600102629073855
Japan,Sapporo,1958756.0,23.58448783328668,0.03600102629073855
Japan,Kyoto,1805000.0,21.733181947665997,0.03600102629073855
Japan,Kobe,1522944.0,18.337074264878805,0.03600102629073855
Japan,Kawanakajima,1437266.0,17.30546453473358,0.03600102629073855
Japan,Saitama,1307931.0,15.74820077451121,0.03600102629073855
Japan,Hiroshima,1306589.0,15.732042364442641,0.03600102629073855
Japan,Sendai,1058070.0,12.739738406297485,0.03600102629073855
Japan,Kitaku,997536.0,12.010876114873655,0.03600102629073855
Japan,Chiba,980203.0,11.802177365455984,0.03600102629073855
Japan,Niigata,796500.0,9.590293308208292,0.03600102629073855
Japan,Hamamatsu,791770.0,9.533341535015794,0.03600102629073855
Japan,Kumamoto,739393.0,8.902693961124989,0.03600102629073855
